id,manufacturer,aircraft_name,airline_name
356e1106,Airbus,Airbus A380-800,Emirates
356e4203,Boeing,Boeing 777-200LR,DHL Air UK
356e81cf,Airbus,Airbus A350-900,China Eastern Airlines
356ef8f3,Airbus,Airbus A350-900,Air Mauritius
356f11b2,Boeing,Boeing 787-9,British Airways
356f534b,Boeing,Boeing 777-200LR,Fedex
356f7d87,Boeing,Boeing 777-300ER,Aeroflot
356f8c3b,Boeing,Boeing 777-200LR,Qatar Airways
356f8cc4,Boeing,Boeing 787-9,Oman Air
356f9ab6,Boeing,Boeing 777-300ER,Qatar Airways
356fab15,Boeing,Boeing 787-9,Japan Airlines
