id,manufacturer,aircraft_name,airline_name
356daae5,Boeing,Boeing 787-9,United Airlines
356df2a6,Boeing,Boeing 777-200LR,Fedex
356e13d9,Boeing,Boeing 787-9,All Nippon Airways
356e1988,Airbus,Airbus A350-1000,Cathay Pacific
356e68a5,Airbus,Airbus A330-900neo,Azul Brazilian Airlines
356f3bf2,Boeing,Boeing 787-9,All Nippon Airways
356f5ad3,Airbus,Airbus A320neo,Azul Brazilian Airlines
356f893f,Boeing,Boeing 787-9,AeroMexico
356f936e,Airbus,Airbus A321neo,LC Péru
356f9489,Pilatus,Pilatus PC-12,Grand China Air
356faa39,Boeing,Boeing 737 MAX 8,Eastar Jet
