id,manufacturer,aircraft_name,airline_name
356ecd77,Airbus,Airbus A330-200,Boliviana de Aviación (BoA)
356ef976,Boeing,Boeing 787-8,British Airways
356f1965,Boeing,Boeing 787-10,British Airways
356f4814,Boeing,Boeing 787-9,KLM
356f5c5f,Airbus,Airbus A330-300,Swiss International Air Lines
356f85a3,Bombardier,Bombardier Challenger 350,New England Airlines
356f9253,Airbus,Airbus A321neo,LC Péru
356f9298,Boeing,Boeing 747-400,Cargolux
356fa08f,Boeing,Boeing 787-9,All Nippon Airways
356fa5d8,Airbus,Airbus A220-300,Air Canada
356faf24,Airbus,Airbus A340-300,Lufthansa Cargo
