origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,4
İstanbul Airport,Tocumen International Airport,4
Incheon International Airport,Dubai International Airport,8
Charles de Gaulle International Airport,Miami International Airport,4
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,4
Beijing Capital International Airport,Charles de Gaulle International Airport,4
Roland Garros Airport,Charles de Gaulle International Airport,4
John F Kennedy International Airport,San Francisco International Airport,8
Kuala Lumpur International Airport,London Heathrow Airport,4
Harry Reid International Airport,Philadelphia International Airport,4
Roland Garros Airport,Paris-Orly Airport,8
Indira Gandhi International Airport,Hong Kong International Airport,4
