origin_airport_name,destination_airport_name,count
Cincinnati Northern Kentucky International Airport,Narita International Airport,4
Rome–Fiumicino Leonardo da Vinci International Airport,Washington Dulles International Airport,4
Ben Gurion International Airport,John F Kennedy International Airport,4
Zaragoza Airport,John F Kennedy International Airport,4
Phuket International Airport,Incheon International Airport,8
Carrasco General Cesáreo L. Berisso International Airport,Adolfo Suárez Madrid–Barajas Airport,4
Zaragoza Airport,General Felipe Ángeles International Airport,4
Leipzig/Halle Airport,Cincinnati Northern Kentucky International Airport,4
