origin_airport_name,destination_airport_name,count
Auckland International Airport,Vancouver International Airport,4
Adolfo Suárez Madrid–Barajas Airport,Punta Cana International Airport,4
Halifax / Stanfield International Airport,Ted Stevens Anchorage International Airport,4
Dubai International Airport,Ninoy Aquino International Airport,4
Birmingham International Airport,Heydar Aliyev International Airport,4
Shanghai Pudong International Airport,Luxembourg-Findel International Airport,4
Queen Beatrix International Airport,Philadelphia International Airport,4
João Paulo II Airport,John F Kennedy International Airport,4
