origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Hato International Airport,4
Amsterdam Airport Schiphol,Vancouver International Airport,4
İstanbul Airport,Newark Liberty International Airport,4
Dublin Airport,Chicago O'Hare International Airport,4
Antalya International Airport,Krasnoyarsk International Airport,4
Singapore Changi Airport,Brussels Airport,4
Hong Kong International Airport,Dubai International Airport,4
Jorge Chávez International Airport,Los Angeles / Tom Bradley International Airport,4
Shanghai Pudong International Airport,Athens Eleftherios Venizelos International Airport,4
John F Kennedy International Airport,Jomo Kenyatta International Airport,1
