origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,4
Cape Town International Airport,İstanbul Airport,4
Mohammed V International Airport,Miami International Airport,4
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,4
Taiwan Taoyuan International Airport,İstanbul Airport,4
Chicago O'Hare International Airport,Indira Gandhi International Airport,4
Tribhuvan International Airport,Dubai International Airport,4
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,4
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,4
Tenerife Sur Airport,Amsterdam Airport Schiphol,1
