origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,4
Charles de Gaulle International Airport,Juan Santamaría International Airport,4
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,4
Geneva Cointrin International Airport,Chicago Midway International Airport,4
Frankfurt Airport,Beijing Capital International Airport,8
Brussels Airport,Hong Kong International Airport,4
Vienna International Airport,John F Kennedy International Airport,4
Washington Dulles International Airport,Indira Gandhi International Airport,4
Newark Liberty International Airport,Narita International Airport,4
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,4
Tbilisi International Airport,Amsterdam Airport Schiphol,4
Chengdu Tianfu International Airport,Cairo International Airport,4
