origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,12
İstanbul Airport,Tocumen International Airport,12
Incheon International Airport,Dubai International Airport,24
Charles de Gaulle International Airport,Miami International Airport,12
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,12
Beijing Capital International Airport,Charles de Gaulle International Airport,12
Roland Garros Airport,Charles de Gaulle International Airport,12
John F Kennedy International Airport,San Francisco International Airport,24
Kuala Lumpur International Airport,London Heathrow Airport,12
Harry Reid International Airport,Philadelphia International Airport,12
Roland Garros Airport,Paris-Orly Airport,24
Indira Gandhi International Airport,Hong Kong International Airport,16
