origin_airport_name,destination_airport_name,count
London Gatwick Airport,Aeropuerto Internacional de Cancún,12
Guangzhou Baiyun International Airport,İstanbul Airport,12
Beijing Daxing International Airport,King Khaled International Airport,12
Humberto Delgado Airport (Lisbon Portela Airport),John F Kennedy International Airport,12
Los Angeles / Tom Bradley International Airport,Philip S. W. Goldson International Airport,12
Malé International Airport,İstanbul Airport,12
Perth International Airport,Singapore Changi Airport,12
Hong Kong International Airport,Vancouver International Airport,12
Imam Khomeini International Airport,Shanghai Pudong International Airport,12
Domodedovo International Airport,Antalya International Airport,1
