origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,12
Frankfurt Airport,Punta Cana International Airport,12
Malpensa International Airport,John F Kennedy International Airport,12
Warsaw Chopin Airport,Chicago O'Hare International Airport,12
John F Kennedy International Airport,Hamad International Airport,12
Helsinki Vantaa Airport,Tokyo Haneda International Airport,12
San Diego International Airport,John F Kennedy International Airport,12
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,24
Vnukovo International Airport,Urgench Airport,12
Norman Y. Mineta San Jose International Airport,Nashville International Airport,12
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,12
La Guardia Airport,Dallas Fort Worth International Airport,5
