origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,12
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,12
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,36
Tokyo Haneda International Airport,Frankfurt Airport,12
Ninoy Aquino International Airport,Kuwait International Airport,12
Kuwait International Airport,Bandaranaike International Colombo Airport,12
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,12
London Heathrow Airport,King Abdulaziz International Airport,12
Abu Dhabi International Airport,Kuala Lumpur International Airport,12
La Guardia Airport,Denver International Airport,4
