origin_airport_name,destination_airport_name,count
Incheon International Airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,17
London Heathrow Airport,Los Angeles / Tom Bradley International Airport,119
London Heathrow Airport,Rajiv Gandhi International Airport,17
Singapore Changi Airport,Newark Liberty International Airport,17
Sheremetyevo International Airport,Yelizovo Airport,17
Hazrat Shahjalal International Airport,Cairo International Airport,17
Daniel K Inouye International Airport,Phoenix Sky Harbor International Airport,6
