origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,17
Cape Town International Airport,İstanbul Airport,17
Mohammed V International Airport,Miami International Airport,17
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,17
Taiwan Taoyuan International Airport,İstanbul Airport,17
Chicago O'Hare International Airport,Indira Gandhi International Airport,17
Tribhuvan International Airport,Dubai International Airport,17
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,17
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,17
Domodedovo International Airport,Yakutsk Airport,7
