origin_airport_name,destination_airport_name,count
Perth International Airport,London Heathrow Airport,17
Rome–Fiumicino Leonardo da Vinci International Airport,Dallas Fort Worth International Airport,17
Adolfo Suárez Madrid–Barajas Airport,Aeropuerto Internacional Miguel Hidalgo,17
Aeropuerto Internacional Miguel Hidalgo,Adolfo Suárez Madrid–Barajas Airport,17
Humberto Delgado Airport (Lisbon Portela Airport),Deputado Luiz Eduardo Magalhães International Airport,17
Tan Son Nhat International Airport,Incheon International Airport,34
