origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,17
Charles de Gaulle International Airport,Juan Santamaría International Airport,17
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,17
Geneva Cointrin International Airport,Chicago Midway International Airport,17
Frankfurt Airport,Beijing Capital International Airport,34
Brussels Airport,Hong Kong International Airport,17
Vienna International Airport,John F Kennedy International Airport,17
Washington Dulles International Airport,Indira Gandhi International Airport,17
Newark Liberty International Airport,Narita International Airport,17
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,17
Chengdu Tianfu International Airport,Cairo International Airport,17
