origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,17
Warsaw Chopin Airport,Chicago O'Hare International Airport,17
John F Kennedy International Airport,Hamad International Airport,17
Helsinki Vantaa Airport,Tokyo Haneda International Airport,17
San Diego International Airport,John F Kennedy International Airport,17
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,34
Vnukovo International Airport,Urgench Airport,17
Norman Y. Mineta San Jose International Airport,Nashville International Airport,17
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,17
La Guardia Airport,Dallas Fort Worth International Airport,10
