origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,17
İstanbul Airport,Tocumen International Airport,17
Incheon International Airport,Dubai International Airport,34
Charles de Gaulle International Airport,Miami International Airport,17
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,17
Beijing Capital International Airport,Charles de Gaulle International Airport,17
Roland Garros Airport,Charles de Gaulle International Airport,17
John F Kennedy International Airport,San Francisco International Airport,34
Kuala Lumpur International Airport,London Heathrow Airport,17
Harry Reid International Airport,Philadelphia International Airport,17
Roland Garros Airport,Paris-Orly Airport,34
Indira Gandhi International Airport,Hong Kong International Airport,26
