origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Hong Kong International Airport,1
İstanbul Airport,Miami International Airport,1
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,1
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,3
Tokyo Haneda International Airport,Frankfurt Airport,1
Ninoy Aquino International Airport,Kuwait International Airport,1
Kuwait International Airport,Bandaranaike International Colombo Airport,1
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,1
London Heathrow Airport,King Abdulaziz International Airport,1
Abu Dhabi International Airport,Kuala Lumpur International Airport,1
Punta Cana International Airport,Logan International Airport,1
