origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,1
Frankfurt Airport,Punta Cana International Airport,1
Malpensa International Airport,John F Kennedy International Airport,1
Warsaw Chopin Airport,Chicago O'Hare International Airport,1
John F Kennedy International Airport,Hamad International Airport,1
Helsinki Vantaa Airport,Tokyo Haneda International Airport,1
San Diego International Airport,John F Kennedy International Airport,1
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,2
Vnukovo International Airport,Urgench Airport,1
Norman Y. Mineta San Jose International Airport,Nashville International Airport,1
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,1
