origin_airport_name,destination_airport_name,count
Auckland International Airport,Vancouver International Airport,1
Adolfo Suárez Madrid–Barajas Airport,Punta Cana International Airport,1
Halifax / Stanfield International Airport,Ted Stevens Anchorage International Airport,1
Dubai International Airport,Ninoy Aquino International Airport,1
Birmingham International Airport,Heydar Aliyev International Airport,1
Shanghai Pudong International Airport,Luxembourg-Findel International Airport,1
Queen Beatrix International Airport,Philadelphia International Airport,1
João Paulo II Airport,John F Kennedy International Airport,1
