origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,1
Charles de Gaulle International Airport,Juan Santamaría International Airport,1
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,1
Geneva Cointrin International Airport,Chicago Midway International Airport,1
Frankfurt Airport,Beijing Capital International Airport,2
Brussels Airport,Hong Kong International Airport,1
Vienna International Airport,John F Kennedy International Airport,1
Washington Dulles International Airport,Indira Gandhi International Airport,1
Newark Liberty International Airport,Narita International Airport,1
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,1
Tbilisi International Airport,Amsterdam Airport Schiphol,1
Chengdu Tianfu International Airport,Cairo International Airport,1
