origin_airport_name,destination_airport_name,count
Al Maktoum International Airport,Kansai International Airport,1
John F Kennedy International Airport,Ben Gurion International Airport,1
Singapore Changi Airport,Zürich Airport,2
José Joaquín de Olmedo International Airport,Adolfo Suárez Madrid–Barajas Airport,1
Sheremetyevo International Airport,Sokol Airport,1
Tocumen International Airport,Guarulhos - Governador André Franco Montoro International Airport,1
Tocumen International Airport,Carrasco General Cesáreo L. Berisso International Airport,1
