origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,10
Cape Town International Airport,İstanbul Airport,10
Mohammed V International Airport,Miami International Airport,10
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,10
Taiwan Taoyuan International Airport,İstanbul Airport,10
Chicago O'Hare International Airport,Indira Gandhi International Airport,10
Tribhuvan International Airport,Dubai International Airport,10
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,10
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,10
Tenerife Sur Airport,Amsterdam Airport Schiphol,7
