origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,10
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,10
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,30
Tokyo Haneda International Airport,Frankfurt Airport,10
Ninoy Aquino International Airport,Kuwait International Airport,10
Kuwait International Airport,Bandaranaike International Colombo Airport,10
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,10
London Heathrow Airport,King Abdulaziz International Airport,10
Abu Dhabi International Airport,Kuala Lumpur International Airport,10
La Guardia Airport,Denver International Airport,2
