origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,10
Charles de Gaulle International Airport,Juan Santamaría International Airport,10
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,10
Geneva Cointrin International Airport,Chicago Midway International Airport,10
Frankfurt Airport,Beijing Capital International Airport,20
Brussels Airport,Hong Kong International Airport,10
Vienna International Airport,John F Kennedy International Airport,10
Washington Dulles International Airport,Indira Gandhi International Airport,10
Newark Liberty International Airport,Narita International Airport,10
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,10
Chengdu Tianfu International Airport,Cairo International Airport,10
