origin_airport_name,destination_airport_name,count
Al Maktoum International Airport,Hangzhou Xiaoshan International Airport,10
Xiamen Gaoqi International Airport,Melbourne International Airport,10
King Shaka International Airport,Dubai International Airport,10
Guangzhou Baiyun International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,10
Harry Reid International Airport,Kahului International Airport,20
Miami International Airport,Phoenix Sky Harbor International Airport,10
London Heathrow Airport,Osmany International Airport,10
Mikonos Airport,London Gatwick Airport,10
Singapore Changi Airport,Taiwan Taoyuan International Airport,5
