origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,10
İstanbul Airport,Tocumen International Airport,10
Incheon International Airport,Dubai International Airport,20
Charles de Gaulle International Airport,Miami International Airport,10
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,10
Beijing Capital International Airport,Charles de Gaulle International Airport,10
Roland Garros Airport,Charles de Gaulle International Airport,10
John F Kennedy International Airport,San Francisco International Airport,20
Kuala Lumpur International Airport,London Heathrow Airport,10
Harry Reid International Airport,Philadelphia International Airport,10
Roland Garros Airport,Paris-Orly Airport,20
Indira Gandhi International Airport,Hong Kong International Airport,12
