origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,7
Frankfurt Airport,Punta Cana International Airport,7
Malpensa International Airport,John F Kennedy International Airport,7
Warsaw Chopin Airport,Chicago O'Hare International Airport,7
John F Kennedy International Airport,Hamad International Airport,7
Helsinki Vantaa Airport,Tokyo Haneda International Airport,7
San Diego International Airport,John F Kennedy International Airport,7
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,14
Vnukovo International Airport,Urgench Airport,7
Norman Y. Mineta San Jose International Airport,Nashville International Airport,7
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,7
