origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,7
İstanbul Airport,Tocumen International Airport,7
Incheon International Airport,Dubai International Airport,14
Charles de Gaulle International Airport,Miami International Airport,7
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,7
Beijing Capital International Airport,Charles de Gaulle International Airport,7
Roland Garros Airport,Charles de Gaulle International Airport,7
John F Kennedy International Airport,San Francisco International Airport,14
Kuala Lumpur International Airport,London Heathrow Airport,7
Harry Reid International Airport,Philadelphia International Airport,7
Roland Garros Airport,Paris-Orly Airport,14
Indira Gandhi International Airport,Hong Kong International Airport,7
