origin_airport_name,destination_airport_name,count
Zürich Airport,Narita International Airport,7
Incheon International Airport,Cincinnati Northern Kentucky International Airport,7
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Incheon International Airport,7
Hartsfield Jackson Atlanta International Airport,Addis Ababa Bole International Airport,7
İstanbul Airport,Bandaranaike International Colombo Airport,7
OR Tambo International Airport,Charles de Gaulle International Airport,7
Noi Bai International Airport,Charles de Gaulle International Airport,7
Newark Liberty International Airport,Harry Reid International Airport,7
