origin_airport_name,destination_airport_name,count
Taiwan Taoyuan International Airport,George Bush Intercontinental Houston Airport,7
Edinburgh Airport,Orlando International Airport,7
Kuala Lumpur International Airport,İstanbul Airport,7
Phuket International Airport,Sydney Kingsford Smith International Airport,7
Frankfurt Airport,Logan International Airport,7
San Francisco International Airport,John F Kennedy International Airport,14
Zürich Airport,Logan International Airport,7
Washington Dulles International Airport,San Diego International Airport,7
