origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,7
Charles de Gaulle International Airport,Juan Santamaría International Airport,7
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,7
Geneva Cointrin International Airport,Chicago Midway International Airport,7
Frankfurt Airport,Beijing Capital International Airport,14
Brussels Airport,Hong Kong International Airport,7
Vienna International Airport,John F Kennedy International Airport,7
Washington Dulles International Airport,Indira Gandhi International Airport,7
Newark Liberty International Airport,Narita International Airport,7
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,7
Chengdu Tianfu International Airport,Cairo International Airport,7
