origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,15
Warsaw Chopin Airport,Chicago O'Hare International Airport,15
John F Kennedy International Airport,Hamad International Airport,15
Helsinki Vantaa Airport,Tokyo Haneda International Airport,15
San Diego International Airport,John F Kennedy International Airport,15
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,30
Vnukovo International Airport,Urgench Airport,15
Norman Y. Mineta San Jose International Airport,Nashville International Airport,15
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,15
La Guardia Airport,Dallas Fort Worth International Airport,8
