origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,15
Charles de Gaulle International Airport,Juan Santamaría International Airport,15
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,15
Geneva Cointrin International Airport,Chicago Midway International Airport,15
Frankfurt Airport,Beijing Capital International Airport,30
Brussels Airport,Hong Kong International Airport,15
Vienna International Airport,John F Kennedy International Airport,15
Washington Dulles International Airport,Indira Gandhi International Airport,15
Newark Liberty International Airport,Narita International Airport,15
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,15
Chengdu Tianfu International Airport,Cairo International Airport,15
