origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,15
İstanbul Airport,Tocumen International Airport,15
Incheon International Airport,Dubai International Airport,30
Charles de Gaulle International Airport,Miami International Airport,15
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,15
Beijing Capital International Airport,Charles de Gaulle International Airport,15
Roland Garros Airport,Charles de Gaulle International Airport,15
John F Kennedy International Airport,San Francisco International Airport,30
Kuala Lumpur International Airport,London Heathrow Airport,15
Harry Reid International Airport,Philadelphia International Airport,15
Roland Garros Airport,Paris-Orly Airport,30
Indira Gandhi International Airport,Hong Kong International Airport,22
