origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,15
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,15
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,45
Tokyo Haneda International Airport,Frankfurt Airport,15
Ninoy Aquino International Airport,Kuwait International Airport,15
Kuwait International Airport,Bandaranaike International Colombo Airport,15
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,15
London Heathrow Airport,King Abdulaziz International Airport,15
Abu Dhabi International Airport,Kuala Lumpur International Airport,15
La Guardia Airport,Denver International Airport,7
