origin_airport_name,destination_airport_name,count
Hong Kong International Airport,John F Kennedy International Airport,15
Los Angeles / Tom Bradley International Airport,Incheon International Airport,30
İstanbul Airport,Detroit Metropolitan Wayne County Airport,15
Prince Mohammad Bin Abdulaziz Airport,Rabat-Salé Airport,15
Sheremetyevo International Airport,Tan Son Nhat International Airport,15
Tokyo Haneda International Airport,Tan Son Nhat International Airport,15
Guarulhos - Governador André Franco Montoro International Airport,Charles de Gaulle International Airport,15
