origin_airport_name,destination_airport_name,count
London Gatwick Airport,Aeropuerto Internacional de Cancún,14
Guangzhou Baiyun International Airport,İstanbul Airport,14
Beijing Daxing International Airport,King Khaled International Airport,14
Humberto Delgado Airport (Lisbon Portela Airport),John F Kennedy International Airport,14
Los Angeles / Tom Bradley International Airport,Philip S. W. Goldson International Airport,14
Malé International Airport,İstanbul Airport,14
Perth International Airport,Singapore Changi Airport,14
Hong Kong International Airport,Vancouver International Airport,14
Imam Khomeini International Airport,Shanghai Pudong International Airport,14
Domodedovo International Airport,Antalya International Airport,3
