origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,14
Malpensa International Airport,John F Kennedy International Airport,14
Warsaw Chopin Airport,Chicago O'Hare International Airport,14
John F Kennedy International Airport,Hamad International Airport,14
Helsinki Vantaa Airport,Tokyo Haneda International Airport,14
San Diego International Airport,John F Kennedy International Airport,14
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,28
Vnukovo International Airport,Urgench Airport,14
Norman Y. Mineta San Jose International Airport,Nashville International Airport,14
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,14
La Guardia Airport,Dallas Fort Worth International Airport,7
