origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,14
Charles de Gaulle International Airport,Juan Santamaría International Airport,14
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,14
Geneva Cointrin International Airport,Chicago Midway International Airport,14
Frankfurt Airport,Beijing Capital International Airport,28
Brussels Airport,Hong Kong International Airport,14
Vienna International Airport,John F Kennedy International Airport,14
Washington Dulles International Airport,Indira Gandhi International Airport,14
Newark Liberty International Airport,Narita International Airport,14
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,14
Chengdu Tianfu International Airport,Cairo International Airport,14
