origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,14
Cape Town International Airport,İstanbul Airport,14
Mohammed V International Airport,Miami International Airport,14
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,14
Taiwan Taoyuan International Airport,İstanbul Airport,14
Chicago O'Hare International Airport,Indira Gandhi International Airport,14
Tribhuvan International Airport,Dubai International Airport,14
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,14
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,14
Domodedovo International Airport,Yakutsk Airport,4
