origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,14
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,14
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,42
Tokyo Haneda International Airport,Frankfurt Airport,14
Ninoy Aquino International Airport,Kuwait International Airport,14
Kuwait International Airport,Bandaranaike International Colombo Airport,14
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,14
London Heathrow Airport,King Abdulaziz International Airport,14
Abu Dhabi International Airport,Kuala Lumpur International Airport,14
La Guardia Airport,Denver International Airport,6
