origin_airport_name,destination_airport_name,count
Taiwan Taoyuan International Airport,Los Angeles / Tom Bradley International Airport,70
Adolfo Suárez Madrid–Barajas Airport,José Joaquín de Olmedo International Airport,14
Helsinki Vantaa Airport,Incheon International Airport,14
Beijing Daxing International Airport,İstanbul Airport,14
Burlington International Airport,Ronald Reagan Washington National Airport,14
Amsterdam Airport Schiphol,Al Maktoum International Airport,14
Soekarno-Hatta International Airport,Xiamen Gaoqi International Airport,14
John F Kennedy International Airport,El Dorado International Airport,14
