origin_airport_name,destination_airport_name,count
İstanbul Airport,Dallas Fort Worth International Airport,20
Zhengzhou Xinzheng International Airport,Ted Stevens Anchorage International Airport,20
Keflavik International Airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,20
Logan International Airport,Incheon International Airport,20
Beijing Capital International Airport,Dubai International Airport,20
Keflavik International Airport,Logan International Airport,20
Singapore Changi Airport,OR Tambo International Airport,20
Kotoka International Airport,Dubai International Airport,20
