origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,20
Cape Town International Airport,İstanbul Airport,20
Mohammed V International Airport,Miami International Airport,20
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,20
Taiwan Taoyuan International Airport,İstanbul Airport,20
Chicago O'Hare International Airport,Indira Gandhi International Airport,20
Tribhuvan International Airport,Dubai International Airport,20
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,20
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,20
Domodedovo International Airport,Yakutsk Airport,10
