origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,20
İstanbul Airport,Tocumen International Airport,20
Incheon International Airport,Dubai International Airport,40
Charles de Gaulle International Airport,Miami International Airport,20
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,20
Beijing Capital International Airport,Charles de Gaulle International Airport,20
Roland Garros Airport,Charles de Gaulle International Airport,20
John F Kennedy International Airport,San Francisco International Airport,40
Kuala Lumpur International Airport,London Heathrow Airport,20
Harry Reid International Airport,Philadelphia International Airport,20
Roland Garros Airport,Paris-Orly Airport,40
Indira Gandhi International Airport,Hong Kong International Airport,32
