origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,20
Charles de Gaulle International Airport,Juan Santamaría International Airport,20
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,20
Geneva Cointrin International Airport,Chicago Midway International Airport,20
Frankfurt Airport,Beijing Capital International Airport,40
Brussels Airport,Hong Kong International Airport,20
Vienna International Airport,John F Kennedy International Airport,20
Washington Dulles International Airport,Indira Gandhi International Airport,20
Newark Liberty International Airport,Narita International Airport,20
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,20
Chengdu Tianfu International Airport,Cairo International Airport,20
