origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,20
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,20
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,60
Tokyo Haneda International Airport,Frankfurt Airport,20
Ninoy Aquino International Airport,Kuwait International Airport,20
Kuwait International Airport,Bandaranaike International Colombo Airport,20
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,20
London Heathrow Airport,King Abdulaziz International Airport,20
Abu Dhabi International Airport,Kuala Lumpur International Airport,20
La Guardia Airport,Denver International Airport,12
