origin_airport_name,destination_airport_name,count
Cincinnati Northern Kentucky International Airport,Narita International Airport,5
Rome–Fiumicino Leonardo da Vinci International Airport,Washington Dulles International Airport,5
Ben Gurion International Airport,John F Kennedy International Airport,5
Zaragoza Airport,John F Kennedy International Airport,5
Phuket International Airport,Incheon International Airport,10
Carrasco General Cesáreo L. Berisso International Airport,Adolfo Suárez Madrid–Barajas Airport,5
Zaragoza Airport,General Felipe Ángeles International Airport,5
Leipzig/Halle Airport,Cincinnati Northern Kentucky International Airport,6
