origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,5
Frankfurt Airport,Punta Cana International Airport,5
Malpensa International Airport,John F Kennedy International Airport,5
Warsaw Chopin Airport,Chicago O'Hare International Airport,5
John F Kennedy International Airport,Hamad International Airport,5
Helsinki Vantaa Airport,Tokyo Haneda International Airport,5
San Diego International Airport,John F Kennedy International Airport,5
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,10
Vnukovo International Airport,Urgench Airport,5
Norman Y. Mineta San Jose International Airport,Nashville International Airport,5
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,5
