origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,5
Charles de Gaulle International Airport,Juan Santamaría International Airport,5
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,5
Geneva Cointrin International Airport,Chicago Midway International Airport,5
Frankfurt Airport,Beijing Capital International Airport,10
Brussels Airport,Hong Kong International Airport,5
Vienna International Airport,John F Kennedy International Airport,5
Washington Dulles International Airport,Indira Gandhi International Airport,5
Newark Liberty International Airport,Narita International Airport,5
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,5
Tbilisi International Airport,Amsterdam Airport Schiphol,5
Chengdu Tianfu International Airport,Cairo International Airport,5
