origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,5
Cape Town International Airport,İstanbul Airport,5
Mohammed V International Airport,Miami International Airport,5
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,5
Taiwan Taoyuan International Airport,İstanbul Airport,5
Chicago O'Hare International Airport,Indira Gandhi International Airport,5
Tribhuvan International Airport,Dubai International Airport,5
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,5
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,5
Tenerife Sur Airport,Amsterdam Airport Schiphol,2
