origin_airport_name,destination_airport_name,count
Charles de Gaulle International Airport,Incheon International Airport,5
London Heathrow Airport,Seattle–Tacoma International Airport,15
Adolfo Suárez Madrid–Barajas Airport,Luis Munoz Marin International Airport,5
Perth International Airport,Dubai International Airport,5
Phoenix Sky Harbor International Airport,Lihue Airport,5
Sheremetyevo International Airport,Ugolny Yuri Ryktheu Airport,5
Washington Dulles International Airport,Seattle–Tacoma International Airport,5
