origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,5
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,5
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,15
Tokyo Haneda International Airport,Frankfurt Airport,5
Ninoy Aquino International Airport,Kuwait International Airport,5
Kuwait International Airport,Bandaranaike International Colombo Airport,5
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,5
London Heathrow Airport,King Abdulaziz International Airport,5
Abu Dhabi International Airport,Kuala Lumpur International Airport,5
Punta Cana International Airport,Logan International Airport,5
