timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-30 18:46:26,37.6113,-122.3867,3570486a,AD5480,115,0,0,A21N,N958XV,1717087581,MIA,SFO,AA2933,AA,1,0,AAL2933,AAL,Miami International Airport,"25.79319953918457, -80.29060363769531",San Francisco International Airport,"37.61899948120117, -122.375",American Airlines,Airbus A321neo,Airbus
2024-05-30 18:46:26,59.1083,-113.9261,3570496b,394A12,206,34000,468,B77W,F-GSQS,1717087580,CDG,YVR,AF374,AF,0,0,AFR374G,AFR,Charles de Gaulle International Airport,"49.012798, 2.55",Vancouver International Airport,"49.193901062, -123.183998108",Air France,Boeing 777-300ER,Boeing
2024-05-30 18:46:26,39.7036,-86.2956,3570b84e,A0AAA0,315,0,0,B763,N142FE,1717087577,PIT,IND,FX1622,FX,1,0,FDX1622,FDX,Pittsburgh International Airport,"40.49150085, -80.23290253",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-30 18:46:26,-34.8502,177.9153,3570c52d,7C8071,247,41975,431,B789,VH-ZNN,1717087580,JFK,AKL,QF4,QF,0,-64,QFA4,QFA,John F Kennedy International Airport,"40.639447, -73.779317",Auckland International Airport,"-37.01199, 174.786331",Qantas,Boeing 787-9,Boeing
2024-05-30 18:46:26,52.3136,4.7628,3570ed18,71C218,205,0,1,B77W,HL8218,1717087580,ICN,AMS,KE925,KE,1,0,KAL925,KAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Amsterdam Airport Schiphol,"52.308601, 4.76389",Korean Air,Boeing 777-300ER,Boeing
2024-05-30 18:46:26,-26.1345,28.2553,3570f283,A6745A,357,0,14,A359,N515DN,1717087581,ATL,JNB,DL200,DL,1,0,DAL200,DAL,Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",OR Tambo International Airport,"-26.1392, 28.246",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 18:46:26,37.7187,-122.2175,3570f2ca,AAA39A,90,0,0,B752,N785FD,1717087580,BOI,OAK,FX1813,FX,1,0,FDX1813,FDX,Boise Air Terminal/Gowen Field,"43.5644, -116.223",Metropolitan Oakland International Airport,"37.721298, -122.221001",Fedex,Boeing 757-200,Boeing
2024-05-30 18:46:26,31.2736,121.7385,3570fea5,780DA9,162,2125,173,B77L,B-2027,1717087568,LAX,PVG,CZ420,CZ,0,-64,CSN420,CSN,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Shanghai Pudong International Airport,"31.1434, 121.805",China Southern Airlines,Boeing 777-200LR,Boeing
2024-05-30 18:46:26,22.3967,59.8976,3570ffb4,06A12C,283,40000,510,A35K,A7-ANP,1717087579,AKL,DOH,QR921,QR,0,0,QTR3J,QTR,Auckland International Airport,"-37.01199, 174.786331",Hamad International Airport,"25.273056, 51.608056",Qatar Airways,Airbus A350-1000,Airbus
2024-05-30 18:46:26,40.5661,-73.5993,357107d8,780A5B,325,2400,186,B77W,B-KQK,1717087581,HKG,JFK,CX830,CX,0,-512,CPA830,CPA,Hong Kong International Airport,"22.308901, 113.915001",John F Kennedy International Airport,"40.639447, -73.779317",Cathay Pacific,Boeing 777-300ER,Boeing
2024-05-30 18:46:26,-26.2207,28.0675,35710923,A4095F,200,11475,251,B789,N35953,1717087582,EWR,JNB,UA188,UA,0,-512,UAL188,UAL,Newark Liberty International Airport,"40.692501, -74.168701",OR Tambo International Airport,"-26.1392, 28.246",United Airlines,Boeing 787-9,Boeing
2024-05-30 18:46:26,-32.0417,165.3869,3571182e,7C8067,248,38975,465,B789,VH-ZND,1717087582,DFW,MEL,QF22,QF,0,0,QFA22,QFA,Dallas Fort Worth International Airport,"32.896801, -97.038002",Melbourne International Airport,"-37.673302, 144.843002",Qantas,Boeing 787-9,Boeing
