timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-30 23:12:46,37.7187,-122.2175,3570f2ca,AAA39A,90,0,0,B752,N785FD,1717103561,BOI,OAK,FX1813,FX,1,0,FDX1813,FDX,Boise Air Terminal/Gowen Field,"43.5644, -116.223",Metropolitan Oakland International Airport,"37.721298, -122.221001",Fedex,Boeing 757-200,Boeing
2024-05-30 23:12:46,39.7051,-86.2923,35711bed,A0F99E,322,0,0,B763,N162FE,1717103558,CLT,IND,FX1635,FX,1,0,FDX1635,FDX,Charlotte Douglas International Airport,"35.2140007019043, -80.94309997558594",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-30 23:12:46,1.3612,103.9848,35712b41,76CCE5,61,0,9,A359,9V-SGE,1717103561,JFK,SIN,SQ23,SQ,1,0,SIA23,SIA,John F Kennedy International Airport,"40.639447, -73.779317",Singapore Changi Airport,"1.35019, 103.994003",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 23:12:46,42.4076,-83.5599,357164dc,76CCE2,92,41000,530,A359,9V-SGB,1717103562,SIN,JFK,SQ24,SQ,0,0,SIA24,SIA,Singapore Changi Airport,"1.35019, 103.994003",John F Kennedy International Airport,"40.639447, -73.779317",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 23:12:46,33.9379,-118.4171,35717ab7,896473,84,0,9,A388,A6-EUI,1717103561,DXB,LAX,EK215,EK,1,0,UAE83M,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Emirates,Airbus A380-800,Airbus
2024-05-30 23:12:46,1.168,104.6385,35718061,76CCE7,268,13725,346,A359,9V-SGG,1717103561,LAX,SIN,SQ35,SQ,0,-1280,SIA35,SIA,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Singapore Changi Airport,"1.35019, 103.994003",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 23:12:46,37.6152,-122.3797,3571861f,8964B6,208,0,10,A388,A6-EVH,1717103561,DXB,SFO,EK225,EK,1,0,UAE51N,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",San Francisco International Airport,"37.61899948120117, -122.375",Emirates,Airbus A380-800,Airbus
2024-05-30 23:12:46,32.894,-97.0483,35718638,06A123,90,0,0,A35K,A7-ANG,1717103561,DOH,DFW,QR729,QR,1,0,QTR40L,QTR,Hamad International Airport,"25.273056, 51.608056",Dallas Fort Worth International Airport,"32.896801, -97.038002",Qatar Airways,Airbus A350-1000,Airbus
2024-05-30 23:12:46,-37.7651,144.8558,357189ec,A2A3AF,352,1975,130,B789,N26960,1717103561,LAX,MEL,UA98,UA,0,-768,UAL98,UAL,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Melbourne International Airport,"-37.673302, 144.843002",United Airlines,Boeing 787-9,Boeing
2024-05-30 23:12:46,22.3173,113.9093,357190ce,789244,70,0,13,A359,B-LQF,1717103560,JFK,HKG,CX843,CX,1,0,CPA843,CPA,John F Kennedy International Airport,"40.639447, -73.779317",Hong Kong International Airport,"22.308901, 113.915001",Cathay Pacific,Airbus A350-900,Airbus
2024-05-30 23:12:46,-32.3295,157.7852,357193ab,7C4926,249,40000,405,A388,VH-OQG,1717103554,LAX,SYD,QF12,QF,0,0,QFA12,QFA,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Sydney Kingsford Smith International Airport,"-33.94609832763672, 151.177001953125",Qantas,Airbus A380-800,Airbus
2024-05-30 23:12:46,31.962,-92.7055,35719651,8964E2,214,40000,465,A388,A6-EVK,1717103559,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",George Bush Intercontinental Houston Airport,"29.984399795532227, -95.34140014648438",Emirates,Airbus A380-800,Airbus
