timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-30 18:34:23,37.6113,-122.3867,3570486a,AD5480,115,0,0,A21N,N958XV,1717086852,MIA,SFO,AA2933,AA,1,0,AAL2933,AAL,Miami International Airport,"25.79319953918457, -80.29060363769531",San Francisco International Airport,"37.61899948120117, -122.375",American Airlines,Airbus A321neo,Airbus
2024-05-30 18:34:23,60.502,-112.4843,3570496b,394A12,208,34000,474,B77W,F-GSQS,1717086857,CDG,YVR,AF374,AF,0,0,AFR374G,AFR,Charles de Gaulle International Airport,"49.012798, 2.55",Vancouver International Airport,"49.193901062, -123.183998108",Air France,Boeing 777-300ER,Boeing
2024-05-30 18:34:23,39.7037,-86.2956,3570b84e,A0AAA0,315,0,0,B763,N142FE,1717086855,PIT,IND,FX1622,FX,1,0,FDX1622,FDX,Pittsburgh International Airport,"40.49150085, -80.23290253",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-30 18:34:23,-33.8355,179.1757,3570c52d,7C8071,225,42000,431,B789,VH-ZNN,1717086853,JFK,AKL,QF4,QF,0,0,QFA4,QFA,John F Kennedy International Airport,"40.639447, -73.779317",Auckland International Airport,"-37.01199, 174.786331",Qantas,Boeing 787-9,Boeing
2024-05-30 18:34:23,52.3297,5.4145,3570ed18,71C218,269,5875,211,B77W,HL8218,1717086856,ICN,AMS,KE925,KE,0,-960,KAL925,KAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Amsterdam Airport Schiphol,"52.308601, 4.76389",Korean Air,Boeing 777-300ER,Boeing
2024-05-30 18:34:23,-26.1872,27.9612,3570f283,A6745A,156,11450,320,A359,N515DN,1717086857,ATL,JNB,DL200,DL,0,-1280,DAL200,DAL,Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",OR Tambo International Airport,"-26.1392, 28.246",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 18:34:23,37.7187,-122.2175,3570f2ca,AAA39A,90,0,0,B752,N785FD,1717086854,BOI,OAK,FX1813,FX,1,0,FDX1813,FDX,Boise Air Terminal/Gowen Field,"43.5644, -116.223",Metropolitan Oakland International Airport,"37.721298, -122.221001",Fedex,Boeing 757-200,Boeing
2024-05-30 18:34:23,31.2687,122.1248,3570fea5,780DA9,306,3123,230,B77L,B-2027,1717086850,LAX,PVG,CZ420,CZ,0,0,CSN420,CSN,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Shanghai Pudong International Airport,"31.1434, 121.805",China Southern Airlines,Boeing 777-200LR,Boeing
2024-05-30 18:34:23,21.985,61.7526,3570ffb4,06A12C,283,39996,512,A35K,A7-ANP,1717086858,AKL,DOH,QR921,QR,0,0,QTR3J,QTR,Auckland International Airport,"-37.01199, 174.786331",Hamad International Airport,"25.273056, 51.608056",Qatar Airways,Airbus A350-1000,Airbus
2024-05-30 18:34:23,40.9014,-74.1198,357107d8,780A5B,127,19000,352,B77W,B-KQK,1717086856,HKG,JFK,CX830,CX,0,-64,CPA830,CPA,Hong Kong International Airport,"22.308901, 113.915001",John F Kennedy International Airport,"40.639447, -73.779317",Cathay Pacific,Boeing 777-300ER,Boeing
2024-05-30 18:34:23,-25.4484,27.0475,35710923,A4095F,126,25450,491,B789,N35953,1717086854,EWR,JNB,UA188,UA,0,-2176,UAL188,UAL,Newark Liberty International Airport,"40.692501, -74.168701",OR Tambo International Airport,"-26.1392, 28.246",United Airlines,Boeing 787-9,Boeing
2024-05-30 18:34:23,-31.4743,167.0363,3571182e,7C8067,244,38975,459,B789,VH-ZND,1717086856,DFW,MEL,QF22,QF,0,0,QFA22,QFA,Dallas Fort Worth International Airport,"32.896801, -97.038002",Melbourne International Airport,"-37.673302, 144.843002",Qantas,Boeing 787-9,Boeing
2024-05-30 18:34:23,39.7051,-86.2923,35711bed,A0F99E,322,0,0,B763,N162FE,1717086852,CLT,IND,FX1635,FX,1,0,FDX1635,FDX,Charlotte Douglas International Airport,"35.2140007019043, -80.94309997558594",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-30 18:34:23,27.2619,79.9404,35712b41,76CCE5,154,41000,514,A359,9V-SGE,1717086855,JFK,SIN,SQ23,SQ,0,64,SIA23,SIA,John F Kennedy International Airport,"40.639447, -73.779317",Singapore Changi Airport,"1.35019, 103.994003",Singapore Airlines,Airbus A350-900,Airbus
2024-05-30 18:34:23,37.0959,73.5,35712cf6,A47FD9,126,38975,490,B789,N38950,1717086850,EWR,DEL,UA82,UA,0,0,UAL82,UAL,Newark Liberty International Airport,"40.692501, -74.168701",Indira Gandhi International Airport,"28.55563, 77.09519",United Airlines,Boeing 787-9,Boeing
2024-05-30 18:34:23,39.4002,142.8715,35712d8e,A64924,237,40000,408,A359,N504DN,1717086857,ATL,ICN,DL27,DL,0,0,DAL27,DAL,Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",Incheon International Airport,"37.46910095214844, 126.45099639892578",Delta Air Lines,Airbus A350-900,Airbus
2024-05-30 18:34:23,40.2545,139.7368,35713321,758525,195,40000,459,A359,RP-C3501,1717086855,YYZ,MNL,PR119,PR,0,0,PAL119,PAL,Toronto Lester B. Pearson International Airport,"43.6772, -79.6306",Ninoy Aquino International Airport,"14.5086, 121.019997",Philippine Airlines,Airbus A350-900,Airbus
