origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,6
İstanbul Airport,Tocumen International Airport,6
Incheon International Airport,Dubai International Airport,12
Charles de Gaulle International Airport,Miami International Airport,6
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,6
Beijing Capital International Airport,Charles de Gaulle International Airport,6
Roland Garros Airport,Charles de Gaulle International Airport,6
John F Kennedy International Airport,San Francisco International Airport,12
Kuala Lumpur International Airport,London Heathrow Airport,6
Harry Reid International Airport,Philadelphia International Airport,6
Roland Garros Airport,Paris-Orly Airport,12
Indira Gandhi International Airport,Hong Kong International Airport,6
