origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,6
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,6
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,18
Tokyo Haneda International Airport,Frankfurt Airport,6
Ninoy Aquino International Airport,Kuwait International Airport,6
Kuwait International Airport,Bandaranaike International Colombo Airport,6
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,6
London Heathrow Airport,King Abdulaziz International Airport,6
Abu Dhabi International Airport,Kuala Lumpur International Airport,6
Punta Cana International Airport,Logan International Airport,6
