origin_airport_name,destination_airport_name,count
Frankfurt Airport,Singapore Changi Airport,6
Frankfurt Airport,Aeropuerto Internacional Lic. Benito Juárez,6
Incheon International Airport,Frankfurt Airport,6
King Khaled International Airport,Noi Bai International Airport,6
İstanbul Airport,Modibo Keita International Airport,6
Amsterdam Airport Schiphol,George Bush Intercontinental Houston Airport,6
Chicago O'Hare International Airport,Shanghai Pudong International Airport,6
Dubai International Airport,Guangzhou Baiyun International Airport,6
Cyril E. King Airport,George Bush Intercontinental Houston Airport,6
