origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,6
Frankfurt Airport,Punta Cana International Airport,6
Malpensa International Airport,John F Kennedy International Airport,6
Warsaw Chopin Airport,Chicago O'Hare International Airport,6
John F Kennedy International Airport,Hamad International Airport,6
Helsinki Vantaa Airport,Tokyo Haneda International Airport,6
San Diego International Airport,John F Kennedy International Airport,6
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,12
Vnukovo International Airport,Urgench Airport,6
Norman Y. Mineta San Jose International Airport,Nashville International Airport,6
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,6
